,design,timeTaken,usabilityScore,adoptionScore,accuracyScore,errorCount
P01,A (default),31.51,5,4,2,0
P01,B (press),32.16,5,4,4,0
P01,C (swipe),26.78,5,5,5,0
P02,A (default),18.47,1,1,1,1
P02,B (press),14.16,3,4,5,0
P02,C (swipe),19.17,4,5,5,1
P03,A (default),10.11,5,5,5,0
P03,B (press),16.92,4,5,5,0
P03,C (swipe),13.89,5,5,5,0
P04,A (default),14,4,3,3,1
P04,B (press),21,5,5,5,0
P04,C (swipe),20,4,4,4,1
P05,A (default),11,4,3,5,0
P05,B (press),17,4,5,5,0
P05,C (swipe),18,3,3,3,1
P06,A (default),16,2,2,2,2
P06,B (press),30,3,3,4,1
P06,C (swipe),34,5,3,2,2
P07,A (default),32.42,5,5,3,0
P07,B (press),36.11,4,5,4,1
P07,C (swipe),32.03,5,5,4,0
P08,A (default),42.56,5,5,3,0
P08,B (press),54.51,4,4,3,2
P08,C (swipe),52.33,5,4,5,1
P09,A (default),20,5,3,3,0
P09,B (press),18,3,3,5,0
P09,C (swipe),17,4,5,5,1
P10,A (default),20,5,5,4,1
P10,B (press),34,2,3,4,1
P10,C (swipe),24,5,3,4,1
P11,A (default),22,5,3,3,0
P11,B (press),19,4,3,5,0
P11,C (swipe),21,5,4,5,0
P12,A (default),10,4,3,2,0
P12,B (press),14,4,4,4.5,1
P12,C (swipe),12,3,4,4.5,1
P13,A (default),25,3,1,2,1
P13,B (press),12,4,5,5,1
P13,C (swipe),10,5,5,5,0